timestamp,price,hype_bal,usdc_bal,position_liquidity,total_value_usd
1755705661,41.87984645742501,10.0,200.0,0,618.7984645742501
1755709349,42.033066150362814,0.04023498123858005,1.1166467857037787e-06,2012016715984547,620.1506458804085
1755712970,42.5599823389562,0.00045633374711954305,1.014480777827842e-06,2037600315968008,630.3799863422868
1755716526,41.96648707885683,0.00045633374711954305,1.014480777827842e-06,2057976316699498,632.0163739908749
1755720152,43.157372338133555,0.00045633374711954305,1.014480777827842e-06,2078556076373462,646.463574921129
1755723744,42.93566544001924,0.00045633374711954305,1.014480777827842e-06,2099341636202744,651.8042283963061
1755727326,43.10626797928456,0.00045633374711954305,1.014480777827842e-06,2120335049877876,659.2118203760161
1755730901,43.20877187130467,0.00045633374711954305,1.014480777827842e-06,2141538398951466,666.290678418784
1755734493,42.871082985201674,0.00045633374711954305,1.014480777827842e-06,2162953780349583,671.1812079188354
1755738140,42.9045180269964,0.00045633374711954305,1.014480777827842e-06,2184583316950088,678.0897511812324
1755741713,42.999372992834985,0.00045633374711954305,1.014480777827842e-06,2206429149753220,685.4108534890764
1755745346,42.51312739721555,0.00045633374711954305,1.014480777827842e-06,2228493436052472,689.0882716134034
1755748959,42.545478666912715,0.00045633374711954305,1.014480777827842e-06,2250778366912368,696.2220402848329
1755752525,42.1432470757091,0.00045633374711954305,1.014480777827842e-06,2273286150443231,699.8252976988447
1755756123,42.565364120100035,0.00045633374711954305,1.014480777827842e-06,2296019010344075,710.3659832269633
1755759713,42.09118324581923,0.00045633374711954305,1.014480777827842e-06,2318979195432658,713.3979960241842
1755763316,41.86889658057017,0.00045633374711954305,1.014480777827842e-06,2342168982941040,718.2731036823322
1755766951,41.5950292419804,0.00045633374711954305,1.014480777827842e-06,2365590670202290,722.3482166372916
1755770557,41.4484917880198,0.00045633374711954305,1.014480777827842e-06,2389246566566725,727.7552369542746
1755774142,41.316744293977386,0.00045633374711954305,1.014480777827842e-06,2413139028305525,733.3004429802832
1755777634,40.98503357080249,0.00045633374711954305,1.014480777827842e-06,2437270403348342,735.874888566892
1755781306,40.92454564924473,0.00045633374711954305,1.014480777827842e-06,2461643100783577,742.3016186868665
