timestamp,price,hype_bal,usdc_bal,position_value_usd,position_liquidity,total_value_usd,fees_collected_usd
1755705661,41.87984645742501,10.0,200.0,0.0,0,618.7984645742501,0.0
1755709349,42.033066150362814,0.04023498123858005,1.1166467857037787e-06,618.459445135802,2012016715984547,620.1506458804085,0.0
1755712970,42.5599823389562,0.00045633374711954305,1.014480777827842e-06,630.3605638905029,2037600316819118,630.3799864612018,6.224459141743503
1755716526,41.96648707885683,0.00045633374711954305,1.014480777827842e-06,631.9972228540785,2057976319987309,632.0163745928614,12.481857390793785
1755720152,43.157372338133555,0.00045633374711954305,1.014480777827842e-06,646.4438813935162,2078556083187182,646.4635765734319,18.88229185756127
1755723744,42.93566544001924,0.00045633374711954305,1.014480777827842e-06,651.7846372648942,2099341644019053,651.8042312724702,25.335605089787947
1755727326,43.10626797928456,0.00045633374711954305,1.014480777827842e-06,659.192152569683,2120335060459243,659.2118244289551,31.86226006156699
1755730901,43.20877187130467,0.00045633374711954305,1.014480777827842e-06,666.2709628970721,2141538411063835,666.2906815323294,38.45900227173602
1755734493,42.871082985201674,0.00045633374711954305,1.014480777827842e-06,671.16164711473,2162953795174473,671.1812116511526,45.10416709980265
1755738140,42.9045180269964,0.00045633374711954305,1.014480777827842e-06,678.0701762376489,2184583333126217,678.0897560316092,51.81773320373977
1755741713,42.999372992834985,0.00045633374711954305,1.014480777827842e-06,685.3912352035911,2206429166457479,685.4108582830735,58.60378503842879
1755745346,42.51312739721555,0.00045633374711954305,1.014480777827842e-06,689.0688765835412,2228493458122053,689.0882777727489,65.4262491718302
1755748959,42.545478666912715,0.00045633374711954305,1.014480777827842e-06,696.2026329635305,2250778392703273,696.2220489157144,72.31934454394435
1755752525,42.1432470757091,0.00045633374711954305,1.014480777827842e-06,699.806073755826,2273286176630305,699.8253061561607,79.24811755192283
1755756123,42.565364120100035,0.00045633374711954305,1.014480777827842e-06,710.3465671087323,2296019038396608,710.3659921353195,86.28125187290038
1755759713,42.09118324581923,0.00045633374711954305,1.014480777827842e-06,713.3787971851693,2318979228780574,713.3980058270214,93.34440827770405
1755763316,41.86889658057017,0.00045633374711954305,1.014480777827842e-06,718.2540087291525,2342169021068379,718.2731159340976,100.45583410225011
1755766951,41.5950292419804,0.00045633374711954305,1.014480777827842e-06,722.3292470367509,2365590711279062,722.3482292667871,107.60760882815853
1755770557,41.4484917880198,0.00045633374711954305,1.014480777827842e-06,727.7363380316408,2389246618391852,727.7552533916917,114.81291910470944
1755774142,41.316744293977386,0.00045633374711954305,1.014480777827842e-06,733.2816056953036,2413139084575770,733.3004609345269,122.07313301575205
1755777634,40.98503357080249,0.00045633374711954305,1.014480777827842e-06,735.8562070135101,2437270475421527,735.8749108819361,129.35883803321255
1755781306,40.92454564924473,0.00045633374711954305,1.014480777827842e-06,742.2829659411931,2461643180175742,742.3016422069392,136.7081743327293
1755784975,41.49917251396211,0.00045633374711954305,1.014480777827842e-06,757.9502880211938,2486259611977499,757.9692265085703,144.21263263214706
1755788535,41.6410208077786,0.00045633374711954305,1.014480777827842e-06,767.3454064156572,2511122208097273,767.364409633197,151.8101118985397
1755792088,41.023043718396735,0.00045633374711954305,1.014480777827842e-06,766.329150297004,2536233430178245,766.3478715107431,159.39752922128233
1755795707,40.825588074992396,0.00045633374711954305,1.014480777827842e-06,770.7977010688419,2561595764480027,770.8163321769073,167.02918962929067
1755799339,41.3316726844771,0.00045633374711954305,1.014480777827842e-06,786.3917940193265,2587211722124827,786.4106560708782,174.81524700175925
1755802942,41.17929638492529,0.00045633374711954305,1.014480777827842e-06,791.9911170671039,2613083839346075,792.0099095842078,182.6567432147999
1755806506,40.75398075415254,0.00045633374711954305,1.014480777827842e-06,792.9113052016028,2639214677739535,792.9299036328312,190.50735019540983
1755810164,40.987498089222626,0.00045633374711954305,1.014480777827842e-06,804.8358130462082,2665606824516930,804.8545180392771,198.47602160883764
1755813758,41.06659166424299,0.00045633374711954305,1.014480777827842e-06,814.1874250661403,2692262892762099,814.2061661522768,206.5372832466212
1755817345,40.98664926945837,0.00045633374711954305,1.014480777827842e-06,820.9987112141544,2719185521689719,821.0174158198781,214.665983353197
1755820966,40.505160346692314,0.00045633374711954305,1.014480777827842e-06,820.4036726643678,2746377376906616,820.4221575504473,222.78879199324024
1755824525,40.59299697572408,0.00045633374711954305,1.014480777827842e-06,830.3224116690458,2773841150675682,830.3409366379433,231.00980597253772
1755828126,41.33910898461127,0.00045633374711954305,1.014480777827842e-06,851.6649788078737,2801579562182438,851.68384425286,239.44213249816022
1755831646,41.470146284968216,0.00045633374711954305,1.014480777827842e-06,862.1863769845448,2829595357804262,862.2053022262734,247.97863128473986
1755835314,41.11734019993447,0.00045633374711954305,1.014480777827842e-06,865.1461086327762,2857891311382304,865.164872877182,256.5444343432822
1755838904,41.424668601072845,0.00045633374711954305,1.014480777827842e-06,878.8171094129402,2886470224496127,878.8360139016669,265.24559384261823
1755842535,41.860262129863564,0.00045633374711954305,1.014480777827842e-06,893.9076044915598,2915334926741088,893.9267077563137,274.09616418253466
1755846157,41.81576331639996,0.00045633374711954305,1.014480777827842e-06,902.2439917520103,2944488276008498,902.2630747104539,283.0292730158219
1755849737,41.9359010015929,0.00045633374711954305,1.014480777827842e-06,912.8849021076232,2973933158768582,912.904039888947,292.06773739164
1755853315,41.914464554919945,0.00045633374711954305,1.014480777827842e-06,921.727936553829,3003672490356267,921.7470645529786,301.19375656326207
1755856933,42.14724705335421,0.00045633374711954305,1.014480777827842e-06,933.9428846039755,3033709215259829,933.9621188296348,310.4407158157767
1755860533,42.004095627249306,0.00045633374711954305,1.014480777827842e-06,941.4565196721242,3064046307412427,941.4756885729569,319.76206750243136
1755864031,41.771221984822425,0.00045633374711954305,1.014480777827842e-06,947.6221190243349,3094686770486551,947.6411816570658,329.1444647217812
1755867746,41.43840883541482,0.00045633374711954305,1.014480777827842e-06,951.863035201804,3125633638191416,951.8819459606633,338.56885120843276
1755871349,41.60358078575291,0.00045633374711954305,1.014480777827842e-06,964.0873139352522,3156889974573330,964.1063000676464,348.11427016303924
1755874845,43.78711957645449,0.00045633374711954305,1.014480777827842e-06,994.9777015219239,3188458874319063,994.9976840767566,357.96553454157316
1755878490,43.79989916015793,0.00045633374711954305,1.014480777827842e-06,1004.9731049388984,3220343463062253,1004.9930933254864,367.9157633008692
1755882120,43.995585740509306,0.00045633374711954305,1.014480777827842e-06,1015.6142684371573,3252546897692875,1015.6343461221358,377.97135011826674
1755885762,44.34614495903423,0.00045633374711954305,1.014480777827842e-06,1026.3025434749215,3285072366669803,1026.3227811319018,388.13276143712733
1755889363,44.42587963508092,0.00045633374711954305,1.014480777827842e-06,1036.591148755871,3317923090336501,1036.6114227984747,398.3960401318389
1755892967,44.345651261384894,0.00045633374711954305,1.014480777827842e-06,1046.9309523060228,3351102321239866,1046.9511897377122,408.7616931230867
1755896552,44.51950262340698,0.00045633374711954305,1.014480777827842e-06,1046.957913,3351102321239866,1046.9782297659328,408.7616931230867
1755900171,44.67620963731313,-1.7763568394002505e-15,11.729917014480748,1033.3994360161512,3071903294314856,1045.1293530306318,408.7616931230867
1755903773,44.89882733265354,-1.7763568394002505e-15,11.729917014480748,1046.69757966657,3102622327258004,1058.4274966810506,419.1250354899834
1755907350,45.32869311456908,-1.7763568394002505e-15,11.729917014480748,1062.2167490489708,3133648550530584,1073.9466660634514,429.6420329967059
1755910969,44.9494304659741,-1.7763568394002505e-15,11.729917014480748,1068.3870910939052,3164985036035889,1080.1170081083858,440.22012300763566
1755914513,44.43015246693669,-1.7763568394002505e-15,11.729917014480748,1071.675373348147,3196634886396247,1083.4052903626277,450.83077026682525
1755918063,44.242084035805355,-1.7763568394002505e-15,11.729917014480748,1079.3256341238855,3228601235260209,1091.0555511383661,461.51716268795286
1755921717,43.668563234590735,-1.7763568394002505e-15,11.729917014480748,1079.458669048114,3260887247612811,1091.1885860625946,472.2048722811025
1755925374,44.19122559438322,-1.7763568394002505e-15,11.729917014480748,1100.1402079386794,3293496120088939,1111.87012495316,483.09734958841614
1755928955,44.55084237235225,-1.7763568394002505e-15,11.729917014480748,1117.112473529581,3326431081289828,1128.8423905440616,494.15786912415456
1755932442,43.840830275984175,-1.7763568394002505e-15,11.729917014480748,1115.665842093842,3359695392102726,1127.3957591083226,505.2040655767669
1755936145,43.63066266430569,-1.7763568394002505e-15,11.729917014480748,1122.4882363305414,3393292346023753,1134.218153345022,516.317810485287
1755939786,43.46830016656141,-1.7763568394002505e-15,11.729917014480748,1130.1515256526893,3427225269483990,1141.88144266717,527.507429548284
1755943368,43.769752803122216,-1.7763568394002505e-15,11.729917014480748,1148.0059135393524,3461497522178829,1159.735830553833,538.8738247350102
1755946954,43.65297063857658,-1.7763568394002505e-15,11.729917014480748,1156.9874228707292,3496112497400617,1168.7173398852099,550.3291457533343
1755950497,43.59457429364488,-1.7763568394002505e-15,11.729917014480748,1167.2641264336903,3531073622374623,1178.994043448171,561.8862163048559
1755954137,43.71557463562867,-1.7763568394002505e-15,11.729917014480748,1181.6196656939542,3566384358598369,1193.3495827084348,573.5854209195485
1755957742,43.78737391241381,-1.7763568394002505e-15,11.729917014480748,1195.000610674515,3602048202184352,1206.7305276889956,585.4171101309794
1755961337,43.77416965360908,-1.7763568394002505e-15,11.729917014480748,1206.6624048537144,3638068684206195,1218.392321868195,597.3642626548775
1755964956,43.89654471726127,-1.7763568394002505e-15,11.729917014480748,1221.3845337342716,3674449371048256,1233.1144507487522,609.457178837692
1755968602,44.04338524399754,-1.7763568394002505e-15,11.729917014480748,1236.6905667860467,3711193864758738,1248.4204838005273,621.7016398968608
1755972182,44.333283288322164,-1.7763568394002505e-15,11.729917014480748,1254.8179839167485,3748305803406325,1266.5479009312292,634.125580329898
1755975720,44.514241779952584,-1.7763568394002505e-15,11.729917014480748,1270.7243837906722,3785788861440388,1282.4543008051528,646.7070098712908
1755979369,44.648078658035956,-1.7763568394002505e-15,11.729917014480748,1285.804527431534,3823646750054791,1297.5344444460147,659.4377477678406
1755982902,44.80162013874593,-1.7763568394002505e-15,11.729917014480748,1301.2692889904836,3861883217555338,1312.9992060049642,672.3216021211127
1755986543,44.75626863064833,-1.7763568394002505e-15,11.729917014480748,1313.5203276969,3900502049730891,1325.2502447113807,685.3267538881117
1755990157,44.614728203587056,-1.7763568394002505e-15,11.729917014480748,1324.1675611535118,3939507070228199,1335.8974781679924,698.4373237980475
1755993779,44.85708057002866,-1.7763568394002505e-15,11.729917014480748,1341.630655321355,3978902140930480,1353.3605723358357,711.7207956310313
